#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
################
imbue_item;Imbue items with magic;;;;;;;;;;;;;;x
imbue_item_desc;Use your magic and crafting skills to improve your items jewel.;;;;;;;;;;;;;;x
#traits & decisions
####elvish_sword
elvish_sword_magic_martial;Elvish Sword of Bloodlust;;;;;;;;;;;;;;x
elvish_sword_magic_martial_desc;An elvish blacksmith forged this sword. It was further imbued with magical abilities to increase the martial skill of its wielder.;;;;;;;;;;;;;;x
elvish_sword_magic_combat;Elvish Sword of Finesse;;;;;;;;;;;;;;x
elvish_sword_magic_combat_desc;An elvish blacksmith forged this sword. It was further imbued with magical abilities to increase the combat rating of its wielder.;;;;;;;;;;;;;;x
elvish_sword_magic_exceptional;Elvish Sword of Mastery;;;;;;;;;;;;;;x
elvish_sword_magic_exceptional_desc;An elvish blacksmith forged this sword. It was further imbued with magical abilities to increase the combat rating and the martial skill of its wielder.;;;;;;;;;;;;;;x
####elf_necklace
elf_necklace_magic_diplomacy;Elvish Necklace of Speech;;;;;;;;;;;;;;x
elf_necklace_magic_diplomacy_desc;An elvish blacksmith forged this necklace. It was further imbued with magical abilities to increase the diplomacy skill of its owner.;;;;;;;;;;;;;;x
elf_necklace_magic_learning;Elvish Necklace of Insight;;;;;;;;;;;;;;x
elf_necklace_magic_learning_desc;An elvish blacksmith forged this necklace. It was further imbued with magical abilities to increase the learning skill of its owner.;;;;;;;;;;;;;;x
elf_necklace_magic_exceptional;Elvish Necklace of Excellence;;;;;;;;;;;;;;x
elf_necklace_magic_exceptional_desc;An elvish blacksmith forged this necklace. It was further imbued with magical abilities to increase the learning and the diplomacy skills of its owner.;;;;;;;;;;;;;;x
####elf_brooch
elf_brooch_magic_intrigue;Elvish Brooch of Shadows;;;;;;;;;;;;;;x
elf_brooch_magic_intrigue_desc;An elvish blacksmith forged this brooch. It was further imbued with magical abilities to increase the intrigue skill of its owner.;;;;;;;;;;;;;;x
elf_brooch_magic_stewardship;Elvish Brooch of Wealth;;;;;;;;;;;;;;x
elf_brooch_magic_stewardship_desc;An elvish blacksmith forged this brooch. It was further imbued with magical abilities to increase the stewardship skill of its owner.;;;;;;;;;;;;;;x
elf_brooch_magic_exceptional;Elvish Brooch of Power;;;;;;;;;;;;;;x
