#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTTITkinggondor.1;Regnal Name;Nom de Règne;;;;;;;;;;;;;x
EVTDESCkinggondor.1;You're the King of Gondor, and as your ancestrors, you can choose to change your regnal name. Will you keep your original one, or take a new regnal name?;Vous êtes le Roi du Gondor, et, à l'instar de vos ancêtres, vous pouvez adopter un Nom de Règne différent de votre nom de naissance. Allez-vous garder le nom que vous ont donné vos parents, ou prendre un Nom qui indiquera à votre peuple quel caractère vous avez?;;;;;;;;;;;;;x
EVTOPTAkinggondor.1;I'll be the King Meneldil;Je serais le Roi Meneldil;;;;;;;;;;;;;x
EVTOPTBkinggondor.1;I'll be the King Cemendur;Je serais le Roi Cemendur;;;;;;;;;;;;;x
EVTOPTCkinggondor.1;I'll be the King Eärendil;Je serais le Roi Eärendil;;;;;;;;;;;;;x
EVTOPTDkinggondor.1;I'll be the King Anardil;Je serais le Roi Anardil;;;;;;;;;;;;;x
EVTOPTEkinggondor.1;I'll be the King Ostoher;Je serais le Roi Ostoher;;;;;;;;;;;;;x
EVTOPTFkinggondor.1;I'll be the King Tarostar;Je serais le Roi Tarostar;;;;;;;;;;;;;x
EVTOPTGkinggondor.1;I'll be the King Turambar;Je serais le Roi Turambar;;;;;;;;;;;;;x
EVTOPTHkinggondor.1;I'll be the King Atanatar;Je serais le Roi Atanatar;;;;;;;;;;;;;x
EVTOPTIkinggondor.1;I'll be the King Siriondil;Je serais le Roi Siriondil;;;;;;;;;;;;;x
EVTOPTJkinggondor.1;I'll be the King Falastur;Je serais le Roi Falastur;;;;;;;;;;;;;x
EVTOPTKkinggondor.1;I'll be the King Eärnil;Je serais le Roi Eärnil;;;;;;;;;;;;;x
EVTOPTKkinggondor.1;I'll be the King Cyriandil;Je serais le Roi Ciryandil;;;;;;;;;;;;;x
EVTOPTLkinggondor.1;I'll be the King Alcarin;Je serais le Roi Alcarin;;;;;;;;;;;;;x
EVTOPTMkinggondor.1;I'll be the King Narmacil;Je serais le Roi Narmacil;;;;;;;;;;;;;x
EVTOPTNkinggondor.1;I'll be the King Calmacil;Je serais le Roi Calmacil;;;;;;;;;;;;;x
EVTOPTOkinggondor.1;I'll be the King Valacar;Je serais le Roi Valacar;;;;;;;;;;;;;x
EVTOPTPkinggondor.1;I'll be the King Eldacar;Je serais le Roi Eldacar;;;;;;;;;;;;;x
EVTOPTQkinggondor.1;I'll be the King Aldamir;Je serais le Roi Aldamir;;;;;;;;;;;;;x
EVTOPTRkinggondor.1;I'll be the King Minardil;Je serais le Roi Minardil;;;;;;;;;;;;;x
EVTOPTSkinggondor.1;I'll be the King Telemnar;Je serais le Roi Telemnar;;;;;;;;;;;;;x
EVTOPTTkinggondor.1;I'll be the King Tarondor;Je serais le Roi Tarondor;;;;;;;;;;;;;x
EVTOPTUkinggondor.1;I'll be the King Calimehtar;Je serais le Roi Calimehtar;;;;;;;;;;;;;x
EVTOPTVkinggondor.1;I'll be the King Ondoher;Je serais le Roi Ondoher;;;;;;;;;;;;;x
EVTOPTWkinggondor.1;I'll be the King Eärnur;Je serais le Roi Eärnur;;;;;;;;;;;;;x
EVTOPTXkinggondor.1;I'll be the King Elessar;Je serais le Roi Elessar;;;;;;;;;;;;;x
EVTOPTXkinggondor.1;I'll be the King Eldarion;Je serais le Roi Eldarion;;;;;;;;;;;;;x
EVTOPTYkinggondor.1;I'll be the King Minyatur;Je serais le Roi Minyatur;;;;;;;;;;;;;x
EVTOPTZkinggondor.1;I'll be the King Vardamir;Je serais le Roi Vardamir;;;;;;;;;;;;;x
EVTOPTAAkinggondor.1;I'll be the king Amandil;Je serais le Roi Amandil;;;;;;;;;;;;;x
EVTOPTABkinggondor.1;I'll be the King Elendil;Je serais le Roi Elendil;;;;;;;;;;;;;x
EVTOPTACkinggondor.1;I'll be the King Meneldur;Je serais le Roi Meneldur;;;;;;;;;;;;;x
EVTOPTADkinggondor.1;I'll be the King Aldarion;Je serais le Roi Aldarion;;;;;;;;;;;;;x
EVTOPTAEkinggondor.1;I'll be the King Anarion;Je serais le Roi Anarion;;;;;;;;;;;;;x
EVTOPTAFkinggondor.1;I'll be the King Surion;Je serais le Roi Surion;;;;;;;;;;;;;x
EVTOPTAGkinggondor.1;I'll be the King Minastir;Je serais le Roi Minastir;;;;;;;;;;;;;x
EVTOPTAHkinggondor.1;I'll be the King Ciryatan;Je serais le Roi Ciryatan;;;;;;;;;;;;;x
EVTOPTAIkinggondor.1;I'll be the King Atanamir;Je serais le Roi Atanamir;;;;;;;;;;;;;x
EVTOPTAJkinggondor.1;I'll be the King Ancalimon;Je serais le Roi Ancalimon;;;;;;;;;;;;;x
EVTOPTAKkinggondor.1;I'll be the King Telemmaite;Je serais le Roi Telemmaite;;;;;;;;;;;;;x
EVTOPTALkinggondor.1;I'll be the King Anducal;Je serais le Roi Anducal;;;;;;;;;;;;;x
EVTOPTAMkinggondor.1;I'll be the King Ardamin;Je serais le Roi Ardamin;;;;;;;;;;;;;x
EVTOPTANkinggondor.1;I'll be the King Herunumen;Je serais le Roi Herunumen;;;;;;;;;;;;;x
EVTOPTAOkinggondor.1;I'll be the King Hostamir;Je serais le Roi Hostamir;;;;;;;;;;;;;x
EVTOPTAPkinggondor.1;I'll be the King Falassion;Je serais le Roi Falassion;;;;;;;;;;;;;x
EVTOPTAQkinggondor.1;I'll be the King Telemnar;Je serais le Roi Telemnar;;;;;;;;;;;;;x
EVTOPTARkinggondor.1;I'll be the King Palantir;Je serais le Roi Palantir;;;;;;;;;;;;;x
EVTOPTASkinggondor.1;I'll be the King Calion;Je serais le Roi Calion;;;;;;;;;;;;;x
EVTOPTATkinggondor.1;I'll be the King Isildur;Je serais le Roi Isildur;;;;;;;;;;;;;x
EVTOPTAUkinggondor.1;I'll be the King Faramir;Je serais le Roi Faramir;;;;;;;;;;;;;x
EVTOPTAUkinggondor.1;I'll be the King Boromir;Je serais le Roi Boromir;;;;;;;;;;;;;x
EVTOPTAWkinggondor.1;I'll be the King Galador;Je serais le Roi Galador;;;;;;;;;;;;;x
EVTOPTAXkinggondor.1;I'll be the King Peregrin;Je serais le Roi Peregrin;;;;;;;;;;;;;x
EVTOPTAZkinggondor.1;I'll take the Name of an Hero of Past;Je prendrais le Nom d'un Héros de Jadis.;;;;;;;;;;;;;x
EVTOPTBAkinggondor.1;I keep my name;Je garde mon Nom.;;;;;;;;;;;;;x
EVTTITkinggondor.2;Regnal Name;Nom de Règne;;;;;;;;;;;;;x
EVTDESCkinggondor.2;In Gondor, it's traditional to use the names of the Heroes of old. You can choose to take one of the glorious names of your ancestors, or one from the greatest Elves of the First Age;Au Gondor, il est de tradition d'utiliser les Noms des héros de jadis. Vous pouvez choisir de prendre l'un des glorieux noms de vos ancêtres, ou celui de l'un des plus grands Elfes du Premier Âge.;;;;;;;;;;;;;x
EVTOPTAkinggondor.2;I'll take the name of one of the Kings of the Noldor.;Je prendrais le nom de l'un des Hauts-Rois des Noldor.;;;;;;;;;;;;;x
EVTOPTBkinggondor.2;I'll take the name of an Elvish Hero.;Je prendrais le nom d'un Héros Elfe.;;;;;;;;;;;;;x
EVTOPTCkinggondor.2;I'll take the name of an Hero of the Men.;Je prendrais le Nom de l'un des Héros des Hommes.;;;;;;;;;;;;;x
EVTOPTDkinggondor.2;I want to return to the previous screen.;;;;;;;;;;;;;;x
EVTTITkinggondor.3;Regnal Name;Nom de Règne;;;;;;;;;;;;;x
EVTDESCkinggondor.3;Among the ancient Elves of First Age, some were glorious, brave and noble ... Which one of them will you honor, by repeating his name?;Parmis les anciens Elfes du Premier Âge, certains se sont montrés glorieux, courageux et nobles.. Lequel d'entre eux allez-vous honorer, en reprenant son nom?;;;;;;;;;;;;;x
EVTOPTAkinggondor.3;I'll be the King Glorfindel.;Je serais le Roi Glorfindel.;;;;;;;;;;;;;x
EVTOPTDkinggondor.3;I'll be the King Galdor;Je serais le Roi Galdor;;;;;;;;;;;;;x
EVTOPTEkinggondor.3;I'll be the King Ecthelion;Je serais le Roi Ecthelion;;;;;;;;;;;;;x
EVTOPTBkinggondor.3;I'll be the King Beleg;Je serais le Roi Beleg;;;;;;;;;;;;;x
EVTTITkinggondor.4;Regnal Name;Nom de Règne;;;;;;;;;;;;;x
EVTDESCkinggondor.4;Among your ancestors, some have proven to be real heroes, and switches the fate of Middle-earth. Which of them will you honor, by repeating his name?;Parmis vos ancêtres, certains se sont révélés être de vrais héros, et ont fait basculer le destin de la Terre du Milieu. Lequel d'entre eux allez-vous honorer, en reprenant son nom?;;;;;;;;;;;;;x
EVTOPTAkinggondor.4;I'll be the King Turin;Je serais le Roi Turin;;;;;;;;;;;;;x
EVTOPTBkinggondor.4;I'll be tje King Hurin;Je serais le Roi Hurin;;;;;;;;;;;;;x
EVTOPTCkinggondor.4;I'll be the King Barahir;Je serais le Roi Barahir;;;;;;;;;;;;;x
EVTOPTDkinggondor.4;I'll be tjhe King Beren;Je serais le Roi Beren;;;;;;;;;;;;;x
EVTOPTEkinggondor.4;I'll be the King Tuor;Je serais le Roi Tuor;;;;;;;;;;;;;x
EVTTITkinggondor.5;Regnal Name;Nom de Règne;;;;;;;;;;;;;x
EVTDESCkinggondor.5;Among the ancient Kings of the Elves, some were glorious, brave and noble ... Which one of them will you honor, by repeating his name?;Parmis les anciens Rois des Elfes, certains se sont montrés glorieux, courageux et nobles.. Lequel d'entre eux allez-vous honorer, en reprenant son nom?;;;;;;;;;;;;;x
EVTOPTAkinggondor.5;I'll be the King Turgon;Je serais le Roi Turgon;;;;;;;;;;;;;x
EVTOPTBkinggondor.5;I'll be the King Fingolfin;Je serais le Roi Fingolfin;;;;;;;;;;;;;x
EVTOPTCkinggondor.5;I'll be the King Finrod;Je serais le Roi Finrod;;;;;;;;;;;;;x
EVTOPTDkinggondor.5;I'll be the King Fingon;Je serais le Roi Fingon;;;;;;;;;;;;;x
EVTOPTEkinggondor.5;I'll be the King Ereinion;Je serais le Roi Ereinion;;;;;;;;;;;;;x
EVTOPTBBkinggondor.1;I'll use a name based on my skills.;Je vais prendre un Nom basé sur mes talents.;;;;;;;;;;;;;x
EVTTITkinggondor.6;Regnal Name;Nom de Règne;;;;;;;;;;;;;x
EVTDESCkinggondor.6;As the kings of the past, I want to take a name that fits my talents.;Comme les Rois de Jadis, je veux prendre un nom qui correspond à mes talents. ;;;;;;;;;;;;;x
EVTOPTDkinggondor.3;Another one;Un autre…;;;;;;;;;;;;;x
EVTOPTAkinggondor.7;I'll be the King Voronwë;Je serais le Roi Voronwë;;;;;;;;;;;;;x
EVTOPTBkinggondor.7;I'll be the King Egalmoth;Je serais le Roi Egalmoth;;;;;;;;;;;;;x
EVTOPTAkinggondor.8;I'll be the King Rúmil;Je serais le Roi Rúmil;;;;;;;;;;;;;x
EVTOPTBkinggondor.8;I'll be the King Celebrimbor;Je serais le Roi Celebrimbor;;;;;;;;;;;;;x
EVTOPTCkinggondor.8;I'll be the King Daeron;Je serais le Roi Daeron;;;;;;;;;;;;;x
EVTOPTAkinggondor.9;I'll be the King Argon;Je serais le Roi Argon;;;;;;;;;;;;;x
EVTOPTAkinggondor.10;I'll be the King Huor;Je serais le Roi Huor;;;;;;;;;;;;;x
